ParticipantID,Age,Gender,Ratings,Angle,Physical Distance,Perceived Distance
2,26,m,2,0,5.27,1.3825
2,26,m,2,270,5.5,4.1466
2,26,m,2,270,3.77,1.8454
2,26,m,2,135,5.27,2.4169
2,26,m,2,225,1.43,1.2998
2,26,m,2,45,1.43,2.2539
2,26,m,2,180,6.0,5.3229
2,26,m,2,315,3.44,2.2551
2,26,m,2,270,1.43,0.7055
2,26,m,2,315,6.0,4.1536
2,26,m,2,315,3.77,4.3367
2,26,m,2,225,3.77,3.6668
2,26,m,2,90,1.43,1.426
2,26,m,2,315,1.43,0.5809
2,26,m,2,180,3.77,2.6305
2,26,m,2,90,5.27,3.8463
2,26,m,2,90,3.77,3.8226
2,26,m,2,225,5.27,4.8937
2,26,m,2,135,3.77,1.3441
2,26,m,2,225,6.0,4.6824
2,26,m,2,45,5.27,3.0553
2,26,m,2,270,3.44,3.7259
2,26,m,2,0,1.43,1.8358
2,26,m,2,0,5.5,5.1122
2,26,m,2,270,6.0,4.2521
2,26,m,2,315,5.27,5.0957
2,26,m,2,0,3.77,2.6742
2,26,m,2,45,3.77,2.9464
2,26,m,2,90,5.5,5.0926
2,26,m,2,180,3.44,3.3055
2,26,m,2,90,6.0,3.0228
2,26,m,2,45,5.5,4.4465
2,26,m,2,45,6.0,3.8463
2,26,m,2,0,6.0,4.4794
2,26,m,2,180,5.27,3.3095
2,26,m,2,135,3.44,2.0125
2,26,m,2,0,3.44,2.4934
2,26,m,2,45,3.44,2.1529
2,26,m,2,270,5.27,2.8725
2,26,m,2,225,3.44,2.4291
2,26,m,2,315,5.5,3.6067
2,26,m,2,225,5.5,2.2204
2,26,m,2,135,5.5,4.406
2,26,m,2,180,1.43,0.3172
2,26,m,2,180,5.5,2.7409
2,26,m,2,90,3.44,2.8102
2,26,m,2,135,6.0,3.6061
2,26,m,2,135,1.43,0.9218
3,27,m,1,135,3.77,2.9875
3,27,m,1,135,5.5,2.9949
3,27,m,1,0,1.43,0.7171
3,27,m,1,225,5.5,3.9281
3,27,m,1,315,5.5,5.3082
3,27,m,1,270,3.44,4.7596
3,27,m,1,45,1.43,1.9375
3,27,m,1,180,5.27,3.9294
3,27,m,1,45,3.77,2.9634
3,27,m,1,225,5.27,4.5499
3,27,m,1,45,6.0,2.255
3,27,m,1,45,5.5,2.3149
3,27,m,1,225,6.0,4.7102
3,27,m,1,180,3.77,3.4584
3,27,m,1,0,5.5,2.4
3,27,m,1,0,5.27,1.617
3,27,m,1,180,6.0,3.7284
3,27,m,1,45,5.27,1.8745
3,27,m,1,225,3.44,4.23
3,27,m,1,135,5.27,3.1065
3,27,m,1,315,1.43,1.089
3,27,m,1,90,3.77,2.716
3,27,m,1,315,5.27,5.6996
3,27,m,1,135,3.44,2.5656
3,27,m,1,315,6.0,5.7391
3,27,m,1,45,3.44,2.0664
3,27,m,1,180,5.5,3.6061
3,27,m,1,135,6.0,2.8046
3,27,m,1,270,6.0,4.8282
3,27,m,1,270,1.43,1.7179
3,27,m,1,270,5.27,4.9398
3,27,m,1,180,1.43,3.318
3,27,m,1,180,3.44,3.058
3,27,m,1,90,1.43,1.5347
3,27,m,1,270,3.77,4.7708
3,27,m,1,135,1.43,1.847
3,27,m,1,315,3.77,5.0302
3,27,m,1,225,3.77,4.2482
3,27,m,1,0,3.77,1.0878
3,27,m,1,225,1.43,1.6639
3,27,m,1,315,3.44,4.3284
3,27,m,1,90,6.0,2.6775
3,27,m,1,0,3.44,1.9099
3,27,m,1,270,5.5,4.8281
3,27,m,1,0,6.0,1.7982
3,27,m,1,90,5.27,2.2373
3,27,m,1,90,5.5,1.6445
3,27,m,1,90,3.44,2.1062
5,27,f,2,45,6.0,2.6823
5,27,f,2,315,3.44,3.6544
5,27,f,2,0,6.0,4.4476
